

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:42:00 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462868.958333333, A.D. 2031-Jan-02 11:00:00.0000, -2.909696104538425E+07,  1.322963452011699E+08,  5.734638825523444E+07, -2.967948383488004E+01, -5.518309133011444E+00, -2.390883933983816E+00,
2462869.000000000, A.D. 2031-Jan-02 12:00:00.0000, -2.920379914870886E+07,  1.322764436406153E+08,  5.733776563181471E+07, -2.967501543867288E+01, -5.538112782023622E+00, -2.399462158015900E+00,
2462869.041666667, A.D. 2031-Jan-02 13:00:00.0000, -2.931062113801837E+07,  1.322564707935730E+08,  5.732911212951461E+07, -2.967053160552791E+01, -5.557912736278050E+00, -2.408038867136293E+00,
2462869.083333333, A.D. 2031-Jan-02 14:00:00.0000, -2.941742695775341E+07,  1.322364266733548E+08,  5.732042775379200E+07, -2.966603234300473E+01, -5.577708989923225E+00, -2.416614059030379E+00,
2462869.125000000, A.D. 2031-Jan-02 15:00:00.0000, -2.952421655238177E+07,  1.322163112932933E+08,  5.731171251011305E+07, -2.966151765862329E+01, -5.597501537118979E+00, -2.425187731383446E+00,
2462869.166666667, A.D. 2031-Jan-02 16:00:00.0000, -2.963098986639824E+07,  1.321961246667423E+08,  5.730296640395226E+07, -2.965698755986438E+01, -5.617290372036378E+00, -2.433759881880696E+00,
2462869.208333333, A.D. 2031-Jan-02 17:00:00.0000, -2.973774684432448E+07,  1.321758668070763E+08,  5.729418944079251E+07, -2.965244205417018E+01, -5.637075488857644E+00, -2.442330508207256E+00,
2462869.250000000, A.D. 2031-Jan-02 18:00:00.0000, -2.984448743070884E+07,  1.321555377276912E+08,  5.728538162612496E+07, -2.964788114894474E+01, -5.656856881776068E+00, -2.450899608048196E+00,
2462869.291666667, A.D. 2031-Jan-02 19:00:00.0000, -2.995121157012628E+07,  1.321351374420032E+08,  5.727654296544912E+07, -2.964330485155447E+01, -5.676634544995954E+00, -2.459467179088553E+00,
2462869.333333333, A.D. 2031-Jan-02 20:00:00.0000, -3.005791920717823E+07,  1.321146659634498E+08,  5.726767346427286E+07, -2.963871316932864E+01, -5.696408472732559E+00, -2.468033219013343E+00,
2462869.375000000, A.D. 2031-Jan-02 21:00:00.0000, -3.016461028649240E+07,  1.320941233054890E+08,  5.725877312811235E+07, -2.963410610955981E+01, -5.716178659212050E+00, -2.476597725507601E+00,
2462869.416666667, A.D. 2031-Jan-02 22:00:00.0000, -3.027128475272271E+07,  1.320735094815999E+08,  5.724984196249209E+07, -2.962948367950434E+01, -5.735945098671473E+00, -2.485160696256395E+00,
2462869.458333333, A.D. 2031-Jan-02 23:00:00.0000, -3.037794255054915E+07,  1.320528245052819E+08,  5.724087997294497E+07, -2.962484588638278E+01, -5.755707785358720E+00, -2.493722128944871E+00,
2462869.500000000, A.D. 2031-Jan-03 00:00:00.0000, -3.048458362467761E+07,  1.320320683900555E+08,  5.723188716501215E+07, -2.962019273738035E+01, -5.775466713532519E+00, -2.502282021258276E+00,
2462869.541666667, A.D. 2031-Jan-03 01:00:00.0000, -3.059120791983981E+07,  1.320112411494616E+08,  5.722286354424314E+07, -2.961552423964733E+01, -5.795221877462426E+00, -2.510840370881999E+00,
2462869.583333333, A.D. 2031-Jan-03 02:00:00.0000, -3.069781538079314E+07,  1.319903427970618E+08,  5.721380911619580E+07, -2.961084040029950E+01, -5.814973271428822E+00, -2.519397175501612E+00,
2462869.625000000, A.D. 2031-Jan-03 03:00:00.0000, -3.080440595232053E+07,  1.319693733464381E+08,  5.720472388643631E+07, -2.960614122641854E+01, -5.834720889722927E+00, -2.527952432802903E+00,
2462869.666666667, A.D. 2031-Jan-03 04:00:00.0000, -3.091097957923037E+07,  1.319483328111934E+08,  5.719560786053918E+07, -2.960142672505239E+01, -5.854464726646815E+00, -2.536506140471930E+00,
2462869.708333333, A.D. 2031-Jan-03 05:00:00.0000, -3.101753620635635E+07,  1.319272212049507E+08,  5.718646104408725E+07, -2.959669690321566E+01, -5.874204776513430E+00, -2.545058296195054E+00,
2462869.750000000, A.D. 2031-Jan-03 06:00:00.0000, -3.112407577855734E+07,  1.319060385413538E+08,  5.717728344267168E+07, -2.959195176788999E+01, -5.893941033646638E+00, -2.553608897658993E+00,
2462869.791666667, A.D. 2031-Jan-03 07:00:00.0000, -3.123059824071731E+07,  1.318847848340666E+08,  5.716807506189199E+07, -2.958719132602440E+01, -5.913673492381244E+00, -2.562157942550870E+00,
2462869.833333333, A.D. 2031-Jan-03 08:00:00.0000, -3.133710353774517E+07,  1.318634600967735E+08,  5.715883590735599E+07, -2.958241558453563E+01, -5.933402147063050E+00, -2.570705428558256E+00,
2462869.875000000, A.D. 2031-Jan-03 09:00:00.0000, -3.144359161457468E+07,  1.318420643431793E+08,  5.714956598467980E+07, -2.957762455030851E+01, -5.953126992048901E+00, -2.579251353369231E+00,
2462869.916666667, A.D. 2031-Jan-03 10:00:00.0000, -3.155006241616433E+07,  1.318205975870091E+08,  5.714026529948793E+07, -2.957281823019623E+01, -5.972848021706747E+00, -2.587795714672428E+00,
2462869.958333333, A.D. 2031-Jan-03 11:00:00.0000, -3.165651588749722E+07,  1.317990598420082E+08,  5.713093385741314E+07, -2.956799663102068E+01, -5.992565230415695E+00, -2.596338510157093E+00,
2462870.000000000, A.D. 2031-Jan-03 12:00:00.0000, -3.176295197358095E+07,  1.317774511219420E+08,  5.712157166409656E+07, -2.956315975957276E+01, -6.012278612566093E+00, -2.604879737513135E+00,
2462870.041666667, A.D. 2031-Jan-03 13:00:00.0000, -3.186937061944753E+07,  1.317557714405963E+08,  5.711217872518758E+07, -2.955830762261263E+01, -6.031988162559597E+00, -2.613419394431184E+00,
2462870.083333333, A.D. 2031-Jan-03 14:00:00.0000, -3.197577177015322E+07,  1.317340208117769E+08,  5.710275504634395E+07, -2.955344022687006E+01, -6.051693874809239E+00, -2.621957478602650E+00,
2462870.125000000, A.D. 2031-Jan-03 15:00:00.0000, -3.208215537077849E+07,  1.317121992493097E+08,  5.709330063323171E+07, -2.954855757904459E+01, -6.071395743739530E+00, -2.630493987719776E+00,
2462870.166666667, A.D. 2031-Jan-03 16:00:00.0000, -3.218852136642785E+07,  1.316903067670406E+08,  5.708381549152520E+07, -2.954365968580590E+01, -6.091093763786535E+00, -2.639028919475699E+00,
2462870.208333333, A.D. 2031-Jan-03 17:00:00.0000, -3.229486970222977E+07,  1.316683433788357E+08,  5.707429962690707E+07, -2.953874655379395E+01, -6.110787929397958E+00, -2.647562271564509E+00,
2462870.250000000, A.D. 2031-Jan-03 18:00:00.0000, -3.240120032333657E+07,  1.316463090985809E+08,  5.706475304506830E+07, -2.953381818961930E+01, -6.130478235033261E+00, -2.656094041681307E+00,
2462870.291666667, A.D. 2031-Jan-03 19:00:00.0000, -3.250751317492434E+07,  1.316242039401821E+08,  5.705517575170811E+07, -2.952887459986328E+01, -6.150164675163732E+00, -2.664624227522267E+00,
2462870.333333333, A.D. 2031-Jan-03 20:00:00.0000, -3.261380820219276E+07,  1.316020279175650E+08,  5.704556775253403E+07, -2.952391579107820E+01, -6.169847244272619E+00, -2.673152826784692E+00,
2462870.375000000, A.D. 2031-Jan-03 21:00:00.0000, -3.272008535036509E+07,  1.315797810446751E+08,  5.703592905326191E+07, -2.951894176978759E+01, -6.189525936855200E+00, -2.681679837167079E+00,
2462870.416666667, A.D. 2031-Jan-03 22:00:00.0000, -3.282634456468801E+07,  1.315574633354780E+08,  5.702625965961585E+07, -2.951395254248636E+01, -6.209200747418924E+00, -2.690205256369175E+00,
2462870.458333333, A.D. 2031-Jan-03 23:00:00.0000, -3.293258579043154E+07,  1.315350748039587E+08,  5.701655957732823E+07, -2.950894811564097E+01, -6.228871670483507E+00, -2.698729082092041E+00,
2462870.500000000, A.D. 2031-Jan-04 00:00:00.0000, -3.303880897288891E+07,  1.315126154641221E+08,  5.700682881213971E+07, -2.950392849568963E+01, -6.248538700581031E+00, -2.707251312038109E+00,
2462870.541666667, A.D. 2031-Jan-04 01:00:00.0000, -3.314501405737647E+07,  1.314900853299927E+08,  5.699706736979924E+07, -2.949889368904243E+01, -6.268201832256092E+00, -2.715771943911246E+00,
2462870.583333333, A.D. 2031-Jan-04 02:00:00.0000, -3.325120098923364E+07,  1.314674844156145E+08,  5.698727525606400E+07, -2.949384370208151E+01, -6.287861060065881E+00, -2.724290975416811E+00,
